epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,2.7508120958326914,0.446680642907058,1.7913636167455327,0.7045009784735812
2,1.6787933651839495,0.7443745632424877,1.6372962253045507,0.7547292889758643
3,1.4318567047578983,0.8338225017470301,1.547123276168664,0.781474233529028
4,1.274377808880756,0.8943396226415095,1.5371826244038223,0.7782126549249837
5,1.1723757413281668,0.9278825995807128,1.5212023247322535,0.7788649706457925
6,1.098654040300621,0.9495457721872816,1.5367815231701476,0.7736464448793215
7,1.0389553435276973,0.9742837176799442,1.5110630480510614,0.7853881278538812
8,1.002315584593599,0.9822501747030049,1.4979971570278101,0.7886497064579256
9,0.974920375850299,0.9896575821104123,1.508769195373744,0.7977821265492498
10,0.954683736018748,0.993151642208246,1.5055289011878743,0.7879973907371167
11,0.935621428847896,0.9945492662473795,1.4807631460887811,0.8062622309197651
12,0.9277441156401991,0.9966457023060796,1.4788351908122024,0.8043052837573386
13,0.9150991505796804,0.9983228511530399,1.4728253033918566,0.8049575994781474
14,0.9089727790933818,0.9981830887491265,1.4790236801395056,0.8082191780821918
15,0.9003196617342392,0.9988819007686932,1.4821906752315752,0.8075668623613829
16,0.8984567548077395,0.9986023759608665,1.475152072763412,0.8062622309197651
17,0.8929382760902954,0.9993011879804332,1.4751084759121849,0.8101761252446184
18,0.8901535055339128,0.9991614255765199,1.4758504682013356,0.8082191780821918
19,0.8912575727988589,0.9991614255765199,1.4790898968173412,0.8101761252446184
20,0.8884666565412579,0.9988819007686932,1.4805794908420291,0.806914546640574
